Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,Acc_classesReport,F1_ScoreScore,Precision_ScoreScore,Recall_ScoreScore,Accuracy_ScoreScore
cybertweets,14414,BERTopic,0day,20,50.633633852005005,"[[9.76744186e-01 4.15841584e-01 5.83333333e-01 1.01000000e+02]
 [9.72169811e-01 9.99515034e-01 9.85652798e-01 2.06200000e+03]
 [9.72260749e-01 9.72260749e-01 9.72260749e-01 9.72260749e-01]
 [9.74456999e-01 7.07678309e-01 7.84493066e-01 2.16300000e+03]
 [9.72383409e-01 9.72260749e-01 9.66866729e-01 2.16300000e+03]]",0.9668667293265084,0.9723834090310188,0.972260749,0.9699491447064262
cybertweets,14414,BERTopic,0day,30,50.11206388473511,"[[9.70588235e-01 3.26732673e-01 4.88888889e-01 1.01000000e+02]
 [9.68060122e-01 9.99515034e-01 9.83536149e-01 2.06200000e+03]
 [9.68099861e-01 9.68099861e-01 9.68099861e-01 9.68099861e-01]
 [9.69324179e-01 6.63123854e-01 7.36212519e-01 2.16300000e+03]
 [9.68178171e-01 9.68099861e-01 9.60438889e-01 2.16300000e+03]]",0.9589306031896372,0.96722621,0.96717522,0.9713361072584372
cybertweets,14414,BERTopic,0day,40,45.12553644180298,"[[9.77272727e-01 4.25742574e-01 5.93103448e-01 1.01000000e+02]
 [9.72628598e-01 9.99515034e-01 9.85888543e-01 2.06200000e+03]
 [9.72723070e-01 9.72723070e-01 9.72723070e-01 9.72723070e-01]
 [9.74950663e-01 7.12628804e-01 7.89495996e-01 2.16300000e+03]
 [9.72845453e-01 9.72723070e-01 9.67547677e-01 2.16300000e+03]]",0.9675476767400176,0.9728454532343982,0.9727230698104484,0.981044845
cybertweets,14414,BERTopic,0day,50,47.349454164505005,"[[1.00000000e+00 4.35643564e-01 6.06896552e-01 1.01000000e+02]
 [9.73100519e-01 1.00000000e+00 9.86366898e-01 2.06200000e+03]
 [9.73647712e-01 9.73647712e-01 9.73647712e-01 9.73647712e-01]
 [9.86550260e-01 7.17821782e-01 7.96631725e-01 2.16300000e+03]
 [9.74356574e-01 9.73647712e-01 9.68647755e-01 2.16300000e+03]]",0.9687412172902528,0.970854788,0.9727230698104484,0.9805825242718448
cybertweets,14414,BERTopic,0day,60,49.62403869628906,"[[1.00000000e+00 4.05940594e-01 5.77464789e-01 1.01000000e+02]
 [9.71724788e-01 1.00000000e+00 9.85659656e-01 2.06200000e+03]
 [9.72260749e-01 9.72260749e-01 9.72260749e-01 9.72260749e-01]
 [9.85862394e-01 7.02970297e-01 7.81562222e-01 2.16300000e+03]
 [9.73045082e-01 9.72260749e-01 9.66599239e-01 2.16300000e+03]]",0.965903619,0.972608742,0.9717984281091078,0.974572353
cybertweets,14414,BERTopic,0day,70,47.32681918144226,"[[1.00000000e+00 4.45544554e-01 6.16438356e-01 1.01000000e+02]
 [9.73559962e-01 1.00000000e+00 9.86602871e-01 2.06200000e+03]
 [9.74110032e-01 9.74110032e-01 9.74110032e-01 9.74110032e-01]
 [9.86779981e-01 7.22772277e-01 8.01520613e-01 2.16300000e+03]
 [9.74794564e-01 9.74110032e-01 9.69318259e-01 2.16300000e+03]]",0.969318259,0.9747945640846986,0.9741100323624596,0.9727230698104484
cybertweets,14414,BERTopic,0day,80,46.493422746658325,"[[9.77272727e-01 4.25742574e-01 5.93103448e-01 1.01000000e+02]
 [9.72628598e-01 9.99515034e-01 9.85888543e-01 2.06200000e+03]
 [9.72723070e-01 9.72723070e-01 9.72723070e-01 9.72723070e-01]
 [9.74950663e-01 7.12628804e-01 7.89495996e-01 2.16300000e+03]
 [9.72845453e-01 9.72723070e-01 9.67547677e-01 2.16300000e+03]]",0.9686477554945933,0.9743565743923122,0.9736477115117892,0.9778085991678224
cybertweets,14414,BERTopic,0day,90,49.90342926979065,"[[8.85245902e-01 5.34653465e-01 6.66666667e-01 1.01000000e+02]
 [9.77640343e-01 9.96605238e-01 9.87031700e-01 2.06200000e+03]
 [9.75034674e-01 9.75034674e-01 9.75034674e-01 9.75034674e-01]
 [9.31443122e-01 7.65629351e-01 8.26849183e-01 2.16300000e+03]
 [9.73326039e-01 9.75034674e-01 9.72072445e-01 2.16300000e+03]]",0.9722563192496784,0.9731886195686472,0.9750346740638004,0.9717984281091078
cybertweets,14414,BERTopic,0day,100,46.28094100952149,"[[8.94736842e-01 5.04950495e-01 6.45569620e-01 1.01000000e+02]
 [9.76258310e-01 9.97090204e-01 9.86564299e-01 2.06200000e+03]
 [9.74110032e-01 9.74110032e-01 9.74110032e-01 9.74110032e-01]
 [9.35497576e-01 7.51020349e-01 8.16066960e-01 2.16300000e+03]
 [9.72451713e-01 9.74110032e-01 9.70641755e-01 2.16300000e+03]]",0.968935698,0.9719634028957276,0.9731853906611188,0.969486824
cybertweets,14414,BERTopic,0day,110,57.02694630622864,"[[9.21052632e-01 3.46534653e-01 5.03597122e-01 1.01000000e+02]
 [9.68941176e-01 9.98545102e-01 9.83520420e-01 2.06200000e+03]
 [9.68099861e-01 9.68099861e-01 9.68099861e-01 9.68099861e-01]
 [9.44996904e-01 6.72539878e-01 7.43558771e-01 2.16300000e+03]
 [9.66705049e-01 9.68099861e-01 9.61110687e-01 2.16300000e+03]]",0.9615855878170174,0.9699993072787628,0.9690245030050856,0.9787332408691632
cybertweets,14414,BERTopic,0day,120,48.43488669395447,"[[1.00000000e+00 5.54455446e-01 7.13375796e-01 1.01000000e+02]
 [9.78642620e-01 1.00000000e+00 9.89206045e-01 2.06200000e+03]
 [9.79195562e-01 9.79195562e-01 9.79195562e-01 9.79195562e-01]
 [9.89321310e-01 7.77227723e-01 8.51290920e-01 2.16300000e+03]
 [9.79639890e-01 9.79195562e-01 9.76326315e-01 2.16300000e+03]]",0.9769328078607956,0.980082884,0.979657883,0.9731853906611188
cybertweets,14414,BERTopic,0day,130,49.86436391,"[[9.78723404e-01 4.55445545e-01 6.21621622e-01 1.01000000e+02]
 [9.74007561e-01 9.99515034e-01 9.86596458e-01 2.06200000e+03]
 [9.74110032e-01 9.74110032e-01 9.74110032e-01 9.74110032e-01]
 [9.76365483e-01 7.27480289e-01 8.04109040e-01 2.16300000e+03]
 [9.74227765e-01 9.74110032e-01 9.69554174e-01 2.16300000e+03]]",0.9695541744926642,0.974227765,0.9741100323624596,0.972260749
cybertweets,14414,BERTopic,0day,140,51.23445415496826,"[[9.53125000e-01 6.03960396e-01 7.39393939e-01 1.01000000e+02]
 [9.80943306e-01 9.98545102e-01 9.89665946e-01 2.06200000e+03]
 [9.80120203e-01 9.80120203e-01 9.80120203e-01 9.80120203e-01]
 [9.67034153e-01 8.01252749e-01 8.64529943e-01 2.16300000e+03]
 [9.79644347e-01 9.80120203e-01 9.77979643e-01 2.16300000e+03]]",0.980028048,0.98201189,0.9819694868238558,0.9815071659731854
cybertweets,14414,BERTopic,0day,150,51.090819120407104,"[[8.54838710e-01 5.24752475e-01 6.50306748e-01 1.01000000e+02]
 [9.77153736e-01 9.95635306e-01 9.86307951e-01 2.06200000e+03]
 [9.73647712e-01 9.73647712e-01 9.73647712e-01 9.73647712e-01]
 [9.15996223e-01 7.60193890e-01 8.18307350e-01 2.16300000e+03]
 [9.71442309e-01 9.73647712e-01 9.70618574e-01 2.16300000e+03]]",0.97188382,0.9735029997523186,0.9750346740638004,0.982431808
cybertweets,14414,BERTopic,botnet,20,50.06632399559021,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.07000000e+02]
 [9.50531669e-01 1.00000000e+00 9.74638540e-01 2.05600000e+03]
 [9.50531669e-01 9.50531669e-01 9.50531669e-01 9.50531669e-01]
 [4.75265834e-01 5.00000000e-01 4.87319270e-01 2.16300000e+03]
 [9.03510454e-01 9.50531669e-01 9.26424798e-01 2.16300000e+03]]",0.9264247980181678,0.9035104537306172,0.9505316689782708,0.9505316689782708
cybertweets,14414,BERTopic,botnet,30,47.47739720344544,"[[6.33333333e-01 3.55140187e-01 4.55089820e-01 1.07000000e+02]
 [9.67189729e-01 9.89299611e-01 9.78119740e-01 2.05600000e+03]
 [9.57928803e-01 9.57928803e-01 9.57928803e-01 9.57928803e-01]
 [8.00261531e-01 6.72219899e-01 7.16604780e-01 2.16300000e+03]
 [9.50674410e-01 9.57928803e-01 9.52246323e-01 2.16300000e+03]]",0.952246323,0.9506744102661172,0.9579288025889968,0.9630143319463708
cybertweets,14414,BERTopic,botnet,40,47.84194850921631,"[[8.00000000e-01 3.73831776e-01 5.09554140e-01 1.07000000e+02]
 [9.68291529e-01 9.95136187e-01 9.81530343e-01 2.05600000e+03]
 [9.64401294e-01 9.64401294e-01 9.64401294e-01 9.64401294e-01]
 [8.84145764e-01 6.84483981e-01 7.45542242e-01 2.16300000e+03]
 [9.59966428e-01 9.64401294e-01 9.58182468e-01 2.16300000e+03]]",0.958182468,0.959966428,0.964401294,0.964401294
cybertweets,14414,BERTopic,botnet,50,50.77683448791504,"[[8.37209302e-01 3.36448598e-01 4.80000000e-01 1.07000000e+02]
 [9.66509434e-01 9.96595331e-01 9.81321839e-01 2.05600000e+03]
 [9.63938974e-01 9.63938974e-01 9.63938974e-01 9.63938974e-01]
 [9.01859368e-01 6.66521964e-01 7.30660920e-01 2.16300000e+03]
 [9.60113172e-01 9.63938974e-01 9.56522284e-01 2.16300000e+03]]",0.9565222843964056,0.9601131722493076,0.9639389736477116,0.9648636153490524
cybertweets,14414,BERTopic,botnet,60,48.77275276184082,"[[8.88888889e-01 3.73831776e-01 5.26315789e-01 1.07000000e+02]
 [9.68366383e-01 9.97568093e-01 9.82750359e-01 2.05600000e+03]
 [9.66712899e-01 9.66712899e-01 9.66712899e-01 9.66712899e-01]
 [9.28627636e-01 6.85699935e-01 7.54533074e-01 2.16300000e+03]
 [9.64434764e-01 9.66712899e-01 9.60171303e-01 2.16300000e+03]]",0.9601713029742446,0.9644347643742568,0.9667128987517336,0.9667128987517336
cybertweets,14414,BERTopic,botnet,70,52.24082422,"[[9.06976744e-01 3.64485981e-01 5.20000000e-01 1.07000000e+02]
 [9.67924528e-01 9.98054475e-01 9.82758621e-01 2.05600000e+03]
 [9.66712899e-01 9.66712899e-01 9.66712899e-01 9.66712899e-01]
 [9.37450636e-01 6.81270228e-01 7.51379310e-01 2.16300000e+03]
 [9.64909543e-01 9.66712899e-01 9.59866724e-01 2.16300000e+03]]",0.9598667240582204,0.9649095431422036,0.9667128987517336,0.9704114655570968
